station_id,station_name,arrond_name,arrond_abbrev,arrond_area
6383,Bourbonnière / du Mont-Royal,Rosemont-La Petite-Patrie,RO,15886530.2734387
6384,Darling / Sherbrooke,Rosemont-La Petite-Patrie,RO,15886530.2734387
6385,de Bordeaux / Gilford,Le Plateau-Mont-Royal,PM,8151665.08032495
6386,Métro Préfontaine (Moreau / Hochelaga),Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6387,Métro Joliette  (Joliette / Hochelaga),Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6388,d'Orléans / Hochelaga,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6389,Boyer / Jean-Talon,Rosemont-La Petite-Patrie,RO,15886530.2734387
6391,Aylwin / Ontario,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6393,Dézéry / Ontario,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6394,Valois / Ontario,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6395,Métro Viau (Pierre-de-Coubertin / Viau),Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6397,Marché Maisonneuve,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6398,Desjardins / Ontario,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6401,des Seigneurs / Notre-Dame,Le Sud-Ouest,SO,18144269.4942672
6402,Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,SO,18144269.4942672
6403,Georges-Vanier / Notre-Dame,Le Sud-Ouest,SO,18144269.4942672
6404,Quesnel / Vinet,Le Sud-Ouest,SO,18144269.4942672
6405,Duvernay / Charlevoix,Le Sud-Ouest,SO,18144269.4942672
6406,Marché Atwater,Le Sud-Ouest,SO,18144269.4942672
6407,Charlevoix / Lionel-Groulx,Le Sud-Ouest,SO,18144269.4942672
6408,Métro Georges-Vanier (St-Antoine / Canning),Le Sud-Ouest,SO,18144269.4942672
6409,Lionel-Groulx / George-Vanier,Le Sud-Ouest,SO,18144269.4942672
6410,Métro Crémazie (Crémazie / Lajeunesse),Ahuntsic-Cartierville,AC,25571187.4830152
6411,Clark / Prince-Arthur,Le Plateau-Mont-Royal,PM,8151665.08032495
6412,Complexe sportif Claude-Robillard,Ahuntsic-Cartierville,AC,25571187.4830152
6413,Union / Cathcart,Ville-Marie,VM,21500631.743203
6414,Parc St-Henri (Laporte / Guay),Le Sud-Ouest,SO,18144269.4942672
6415,de Melrose / Sherbrooke,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6416,Notre-Dame-de-Grâce / Décarie,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6417,de la Salle / Hochelaga,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
6418,Paré / Mountain Sights,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6419,Beaucourt / de la Côte-Ste-Catherine,Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6420,Métro Snowdon (de Westbury / Queen-Mary),Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6421,Cartier / Rosemont,Rosemont-La Petite-Patrie,RO,15886530.2734387
6422,Fleury / Lajeunesse,Ahuntsic-Cartierville,AC,25571187.4830152
6423,Hôpital général juif (de la Côte Ste-Catherine / Légaré),Côte-des-Neiges-Notre-Dame-de-Grâce,CN,21483754.6915099
6424,Square Chaboillez (St-Jacques / de la Cathédrale),Ville-Marie,VM,21500631.743203
6425,Métro de l'Église (Ross / de l'Église),Verdun,VD,22328673.5349607
6426,Métro Verdun (Willibrord / de Verdun),Verdun,VD,22328673.5349607
6427,Métro Lasalle (de Rushbrooke / Caisse),Verdun,VD,22328673.5349607
6428,Berlioz / de l'Île des Soeurs,Verdun,VD,22328673.5349607
6429,Place du Commerce,Verdun,VD,22328673.5349607
6432,de Maisonneuve / Greene,Westmount,WM,4016301.00638293
6433,Hillside / Ste-Catherine,Westmount,WM,4016301.00638293
6434,Victoria / de Maisonneuve,Westmount,WM,4016301.00638293
6435,Victoria Hall,Westmount,WM,4016301.00638293
6436,Argyle / Sherbrooke,Westmount,WM,4016301.00638293
6501,Metro Jean-Drapeau (Chemin Macdonald),Ville-Marie,VM,21500631.743203
6502,Casino de Montréal,Ville-Marie,VM,21500631.743203
6503,Métro Parc  (Ogilvy / Hutchison),Villeray-Saint-Michel-Parc-Extension,VS,16477356.1380656
6504,La Ronde,Ville-Marie,VM,21500631.743203
6700,de la Salle / Ste-Catherine,Mercier-Hochelaga-Maisonneuve,MH,27408411.8682898
